number,value,datetime_start,datetime_complete,duration,params_gat_heads,params_gat_hidden_0,params_gat_hidden_1,params_gat_hidden_2,params_gat_layers,params_gat_out,params_kan_arity_0_0,params_kan_arity_0_1,params_kan_arity_0_2,params_kan_arity_0_3,params_kan_arity_0_4,params_kan_arity_0_5,params_kan_arity_0_6,params_kan_arity_0_7,params_kan_arity_0_8,params_kan_arity_0_9,params_kan_arity_1_0,params_kan_arity_1_1,params_kan_arity_1_2,params_kan_arity_1_3,params_kan_arity_1_4,params_kan_arity_1_5,params_kan_arity_1_6,params_kan_arity_1_7,params_kan_arity_1_8,params_kan_arity_1_9,params_kan_arity_2_0,params_kan_arity_2_1,params_kan_arity_2_2,params_kan_arity_2_3,params_kan_arity_2_4,params_kan_arity_2_5,params_kan_arity_2_6,params_kan_arity_2_7,params_kan_arity_2_8,params_kan_arity_2_9,params_kan_arity_3_0,params_kan_arity_3_1,params_kan_arity_3_2,params_kan_arity_3_3,params_kan_arity_3_4,params_kan_arity_3_5,params_kan_arity_3_6,params_kan_arity_3_7,params_kan_arity_3_8,params_kan_arity_3_9,params_kan_grid,params_kan_k,params_kan_layer_type_0,params_kan_layer_type_1,params_kan_layer_type_2,params_kan_layer_type_3,params_kan_mult_nodes_0,params_kan_mult_nodes_1,params_kan_mult_nodes_2,params_kan_mult_nodes_3,params_kan_n_layers,params_kan_neurons_0,params_kan_neurons_1,params_kan_neurons_2,params_kan_neurons_3,params_lr,state
60,,37:36.5,38:18.6,0 days 00:00:42.074801,3,96,16,16,3,4,6,8,7,5,6,4,10,2,7,,2,,,,,,,,,,2,6,3,2,10,2,10,2,3,6,,,,,,,,,,,5,4,mixed,mixed,mixed,,9,1,10,,3,5,8,5,,0.000190067,FAIL
61,,38:18.6,38:57.4,0 days 00:00:38.856772,3,16,96,,2,2,2,4,9,2,7,6,,,,,6,5,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,mixed,mixed,,,6,4,,,2,3,9,,,0.000415187,FAIL
62,314.660553,38:57.4,39:40.5,0 days 00:00:43.033995,3,16,16,128,3,2,,,,,,,,,,,2,7,8,2,8,5,8,2,,,,,,,,,,,,,,,,,,,,,,,5,8,normal,mixed,normal,normal,,8,,,4,1,5,2,4,0.006506528,COMPLETE
63,,39:40.5,40:19.1,0 days 00:00:38.639612,4,32,96,64,3,5,3,2,10,10,8,9,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,mixed,mixed,,,7,1,,,2,1,6,,,0.000280432,FAIL
64,,40:19.1,40:57.2,0 days 00:00:38.079404,1,64,8,,2,4,7,4,10,5,9,7,6,9,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,mixed,,,,10,,,,1,8,,,,0.000815691,FAIL
65,,40:57.2,41:38.8,0 days 00:00:41.616822,2,16,32,,2,5,,,,,,,,,,,7,,,,,,,,,,10,2,10,8,6,4,10,2,,,,,,,,,,,,,4,8,normal,mixed,mixed,,,1,8,,3,4,2,1,,0.003011095,FAIL
66,919.4593506,41:38.8,42:13.5,0 days 00:00:34.703138,4,96,64,16,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,normal,,,,,,,,1,3,,,,0.001061259,COMPLETE
67,,42:13.5,42:57.5,0 days 00:00:43.961512,2,32,8,,2,3,,,,,,,,,,,10,9,7,8,8,10,2,6,5,,2,2,10,4,6,5,10,2,7,,,,,,,,,,,,6,8,normal,mixed,mixed,,,9,9,,3,9,10,3,,0.003392916,FAIL
68,611.2297974,42:57.5,43:33.8,0 days 00:00:36.275963,1,64,128,32,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,normal,normal,,,,,,,2,6,8,,,0.002915411,COMPLETE
69,434.1033325,43:33.8,44:10.9,0 days 00:00:37.088517,1,128,96,32,3,5,,,,,,,,,,,2,8,,,,,,,,,,,,,,,,,,,7,2,,,,,,,,,6,3,normal,mixed,normal,mixed,,2,,2,4,1,8,5,9,0.001881177,COMPLETE
